Place Name,City,Category,Subcategory,Address,Description,Website,Priority,Multi-Use Notes
Allo Vélo,Montreal,Services,Bicycle Rental,"141 Rue du Shannon, Montreal, QC",Bike rental shop offering standard and cargo bikes. 4.8★ (375 reviews). Practical eco-transport.,,Low,
Arsenal art contemporain Montréal,Montreal,"Art/Culture, Venue",Contemporary Art Gallery,"2020 Rue William, Montreal, QC","Massive contemporary art space in Griffintown with rotating exhibitions, VR experiences, and immersive installations. 4.6★ (3046 reviews). Montreal's premier gallery.",,High,Major venue potential for art-forward tour activation or exhibition partnership.
Aux Vivres Plateau,Montreal,Vendor,Vegan Restaurant,"4631 Boul. Saint-Laurent, Montreal, QC","The original Montreal vegan restaurant — a longstanding institution on the Main. Wraps, bowls, smoothies, and comfort food. 4.5★ (3107 reviews).",,Medium,
Boxotel,Montreal,Accommodation,Eco-Friendly Hotel,"175 Rue Ontario E, Montreal, QC","Modern eco-conscious hotel with clean design, full kitchen, washer/dryer in each suite. Minimalist sustainability ethos. 4.7★ (340 reviews).",,High,Recommended accommodation for tour crew. Self-contained suites good for extended stays.
Bulk & Jars - Grocery Bio,Montreal,Vendor,Zero-Waste / Organic Bulk Store,"6698 Av. Christophe Colomb, Montreal, QC","Organic bulk grocery with wide selection of dry goods, oils, spices, and eco-friendly household products. 4.7★ (454 reviews).",,Medium,Vendor sourcing or event partner
Café des Habitudes,Montreal,"Vendor, Environmental",Zero-Waste Café + Community Space,"1104 Rue Saint-Zotique Est, Montreal, QC","Zero-waste café doubling as a community event space. Locally sourced food, bulk goods corner, workshops. 4.7★ (492 reviews).",,High,Triple-use: café + zero-waste shopping + community events/workshops. Excellent for grassroots community activation.
Camellia Sinensis Boutique,Montreal,Vendor,Tea Shop,"351 Rue Émery, Montreal, QC","Renowned tea boutique with handpicked teas from around the world. Tasting room, education, curated selections. 4.7★ (922 reviews). A Montreal institution for tea culture.",,High,Potential co-branded tea tasting event or vendor partnership.
Cha Do Raku,Montreal,"Vendor, Wellness",Japanese Tea House,"750 Rue de Bienville, Montreal, QC","Authentic Japanese tea house offering traditional ceremony, matcha, and contemplative atmosphere. 4.8★ (275 reviews). A meditative experience.",,High,Dual-use: vendor + wellness (tea ceremony as mindfulness practice). Strong alignment with tour values.
ChuChai,Montreal,Vendor,Vegan Thai Restaurant,"4088 R. Saint-Denis, Montreal, QC",Thai-inspired vegan restaurant known for creative mock-meat dishes and Southeast Asian flavors. 4.6★ (1298 reviews).,,Medium,
Châteaufort Community Garden,Montreal,Environmental,Community Garden,"Coin Avenue Van Horne, Montreal, QC",Members-only community garden with plots and communal spaces. 4.3★ (40 reviews). Winter may limit access.,,Low,
CIRCA art actuel,Montreal,Art/Culture,Contemporary Art Gallery,"372 Rue Sainte-Catherine O #444, Montreal, QC",Contemporary art gallery in the historic Belgo Building artist complex. 4.8★ (17 reviews). Surrounded by other galleries and studios.,,Medium,
ensō yoga,Montreal,Wellness,Yoga Studio,"1470 Peel St #100, Montreal, QC",Downtown yoga studio with modern approach. Convenient central location. 4.2★ (241 reviews).,,Medium,
Fitz Montréal Bike Tours,Montreal,Services,E-Bike Tours + Rentals,"1251 Rue Rachel E, Montreal, QC",E-bike tours and rentals specializing in guided neighborhood exploration. 4.9★ (1388 reviews). Top-rated cycling experience.,,Medium,Could organize group e-bike tour for community event.
Frenco Café et Vrac,Montreal,Vendor,Café + Zero-Waste Bulk Store,"4072 Boul. Saint-Laurent, Montreal, QC","Hybrid café and bulk store on the Main. Coffee, tea, and light bites alongside bulk dry goods and eco products. 4.5★ (275 reviews).",,Medium,Multi-use: café meetup + zero-waste shopping. Great for casual community gathering.
Innocere Yoga,Montreal,Wellness,Yoga Studio,"160 Rue Prince-Arthur E, Montreal, QC","Top-rated yoga studio on Prince-Arthur. Welcoming community, diverse class offerings. 5.0★ (491 reviews).",,High,Potential wellness partnership or community yoga session venue.
Jardin botanique de Montréal,Montreal,"Environmental, Venue, Wellness",Botanical Garden,"4101 R. Sherbrooke E, Montreal, QC","One of the world's largest botanical gardens featuring Chinese & Japanese gardens, greenhouses, and seasonal light festivals. 4.6★ (28544 reviews). A must-visit landmark.",https://espacepourlavie.ca/en/botanical-garden,High,Triple-use: Environmental education + event venue + wellness/nature immersion. Potential partnership for eco-tour or private event.
L'Hotel Particulier Griffintown,Montreal,Accommodation,Boutique Hotel,"1200 Rue Ottawa, Montreal, QC","Boutique hotel in Griffintown with Secret Garden, dog-friendly policy, and intimate design. 4.7★ (344 reviews).",,Medium,Secret Garden could host small gathering. Near Arsenal gallery.
La Finca Café,Montreal,Vendor,Organic Café + Local Market,"1067 Rue de Bleury, Montreal, QC","Farm-to-table café with local market section. Organic coffee, fresh meals, artisan goods. 4.6★ (1997 reviews).",,Medium,Dual-use: café + local goods market. Potential vendor pop-up spot.
Livart Centre d'art,Montreal,"Art/Culture, Venue",Multi-Floor Art Center,"3980 R. Saint-Denis, Montreal, QC","Multi-floor art center with gallery spaces, workshops, and events. 4.4★ (158 reviews). Versatile venue for creative programming.",,Medium,Event venue potential with flexible gallery/workshop spaces.
Lola Rosa Milton,Montreal,Vendor,Vegetarian Restaurant,"545 Rue Milton, Montreal, QC","Beloved vegetarian restaurant near McGill serving creative, hearty plant-forward meals. 4.6★ (1986 reviews). A Montreal institution.",,Medium,
LOV,Montreal,"Vendor, Venue",Upscale Vegan Restaurant,"464 Rue McGill, Montreal, QC",Upscale vegan restaurant in Old Montreal with stunning interior design and creative plant-based menu. 4.4★ (3196 reviews). Great for press or influencer dinner.,https://lov.com,High,Event venue potential — beautiful space for private gathering or launch dinner
Lux La Lumière,Montreal,"Vendor, Art/Culture",Organic Café + Art Gallery,"214 Rue Bernard O, Montreal, QC","Unique hybrid of organic restaurant and art gallery in Mile End. Locally sourced menu, rotating exhibitions. 4.7★ (285 reviews).",,High,Dual-use: dining + art viewing. Potential venue for intimate creative gathering or pop-up.
March Saint Laurent,Montreal,Vendor,Café + Artisan Goods,"503 Pl. d'Armes, Montreal, QC",Café and local goods shop in Old Montreal. Curated artisan products and specialty coffee. 4.8★ (261 reviews).,,Medium,Dual-use: café + artisan marketplace. Old Montreal location ideal for tourist-facing activation.
Mile-End Community Garden,Montreal,Environmental,Community Garden,"Av. Henri-Julien, Montreal, QC","Neighborhood community garden in the heart of Mile End. 4.3★ (7 reviews). Intimate, local feel.",,Low,
Ming Tao Xuan,Montreal,Vendor,Chinese Tea House,"451 Rue Saint-Sulpice, Montreal, QC","Traditional Chinese tea ceremony house in Old Montreal. Rare teas, beautiful setting. 4.6★ (292 reviews).",,Medium,
Montreal Art Center and Museum,Montreal,Art/Culture,Art Museum,"1844 Rue William, Montreal, QC",Eclectic art collection and museum in Griffintown area. 4.3★ (149 reviews).,,Low,
Morpho Bleu,Montreal,Wellness,Wellness Center,"4260 Av. Girouard 3rd floor, Montreal, QC","Holistic wellness center offering yoga, movement, and healing arts classes. 4.6★ (74 reviews).",,Medium,
Méga Vrac Mont-Royal,Montreal,Vendor,Zero-Waste Store,"1951 Avenue du Mont-Royal E, Montreal, QC","Bulk grocery on Mont-Royal Ave offering dry goods, cleaning products, and personal care items. 4.3★ (56 reviews).",,Low,
NDG Community Garden,Montreal,Environmental,Community Garden,"4335 Av. de Hampton, Montreal, QC",Notre-Dame-de-Grâce neighborhood community garden. 4.5★. Residential area community project.,,Low,
Romarin - épicerie zéro déchet,Montreal,Vendor,Zero-Waste Store,"5251 Boul. Saint-Laurent, Montreal, QC","Zero-waste grocery in Mile End offering bulk foods, personal care, and household products. 4.5★ (86 reviews).",,Medium,
Rosemont Community Garden,Montreal,Environmental,Community Garden,"Rosemont et 31e Avenue, Montreal, QC",Well-established urban community garden in residential Rosemont neighborhood. 4.4★ (21 reviews).,,Low,
Sacred Fire Productions Cultural Space,Montreal,Art/Culture,Indigenous Art + Cultural Center,"43 Rue des Soeurs-Grises, Montreal, QC","Indigenous-led cultural space showcasing First Nations art, hosting ceremonies and community events. 4.5★ (79 reviews). Deep alignment with earth-based values.",,High,Strong alignment with tour ethos. Potential cultural exchange or co-hosted event.
